sales_agent,account,deal_stage,engage_date,close_date,close_value,sector,year_established,revenue,employees,office_location,close_value_per_employee,close_value_per_revenue
Moses Frase,Cancity,Won,2016-10-20,2017-03-01,1054.0,retail,2001.0,718.62,2448.0,United States,0.4305555555555556,1.4667000640115777
Darcel Schlecht,Isdom,Won,2016-10-25,2017-03-11,4514.0,medical,2002.0,3178.24,4540.0,United States,0.994273127753304,1.4202829238824004
Darcel Schlecht,Cancity,Won,2016-10-25,2017-03-07,50.0,retail,2001.0,718.62,2448.0,United States,0.02042483660130719,0.06957780189808244
Moses Frase,Codehow,Won,2016-10-25,2017-03-09,588.0,software,1998.0,2714.9,2641.0,United States,0.2226429382809542,0.2165825628936609
Zane Levy,Hatfan,Won,2016-10-25,2017-03-02,517.0,services,1982.0,792.46,1299.0,United States,0.39799846035411857,0.6523988592484163
Anna Snelling,Ron-tech,Won,2016-10-29,2017-03-01,49.0,medical,1992.0,3922.42,6837.0,United States,0.007166886061137926,0.012492287924291636
Vicki Laflamme,J-Texon,Won,2016-10-30,2017-03-02,57.0,retail,1989.0,1388.67,3583.0,United States,0.01590845660061401,0.04104646892350234
Markita Hansen,Cheers,Won,2016-11-01,2017-03-07,601.0,entertainment,1993.0,4269.9,6472.0,United States,0.09286155747836836,0.14075271083631935
Niesha Huffines,Zumgoity,Won,2016-11-01,2017-03-03,1026.0,medical,1984.0,441.08,1210.0,United States,0.8479338842975207,2.326108642423143
Anna Snelling,Bioholding,Won,2016-11-04,2017-03-10,53.0,medical,2012.0,587.34,1356.0,Philipines,0.03908554572271387,0.09023734123335717
Gladys Colclough,Genco Pura Olive Oil Company,Lost,2016-11-04,2017-03-18,0.0,retail,2007.0,894.33,1635.0,Italy,0.0,0.0
James Ascencio,Sunnamplex,Won,2016-11-04,2017-03-10,5169.0,marketing,2008.0,894.37,1593.0,Poland,3.2448210922787193,5.779487236825922
Maureen Marcano,Sonron,Won,2016-11-04,2017-03-06,4631.0,telecommunications,1999.0,1699.85,5108.0,United States,0.9066170712607674,2.7243580315910227
Hayden Neloms,Finjob,Won,2016-11-05,2017-03-11,3393.0,employment,1988.0,2059.9,3644.0,United States,0.931119648737651,1.6471673382203018
Rosalina Dieter,Sonron,Lost,2016-11-05,2017-03-03,0.0,telecommunications,1999.0,1699.85,5108.0,United States,0.0,0.0
Rosalina Dieter,Scotfind,Won,2016-11-05,2017-03-06,3284.0,software,1996.0,6354.87,16780.0,United States,0.19570917759237186,0.516769029106811
Versie Hillebrand,Treequote,Won,2016-11-06,2017-03-05,61.0,telecommunications,1988.0,5266.09,8595.0,United States,0.007097149505526469,0.011583546806074336
Daniell Hammack,Xx-zobam,Lost,2016-11-07,2017-03-09,0.0,entertainment,1989.0,3838.39,8274.0,United States,0.0,0.0
Elease Gluck,Rantouch,Won,2016-11-07,2017-03-08,46.0,telecommunications,1994.0,1188.42,3015.0,United States,0.015257048092868989,0.038706854479056224
James Ascencio,Fasehatice,Lost,2016-11-07,2017-03-17,0.0,retail,1990.0,4968.91,7523.0,United States,0.0,0.0
Moses Frase,Ron-tech,Won,2016-11-07,2017-03-18,50.0,medical,1992.0,3922.42,6837.0,United States,0.007313149041977476,0.012747232575807791
Violet Mclelland,Vehement Capital Partners,Won,2016-11-07,2017-03-11,1014.0,finance,1993.0,646.1,883.0,United States,1.1483578708946773,1.5694164989939636
Darcel Schlecht,Warephase,Won,2016-11-08,2017-03-26,561.0,services,1997.0,2041.73,5276.0,United States,0.10633055344958302,0.27476698682000067
Kami Bicknell,Zoomit,Won,2016-11-10,2017-03-23,590.0,entertainment,1992.0,324.19,978.0,United States,0.6032719836400818,1.8199204170393906
Maureen Marcano,Ganjaflex,Engaging,2016-11-10,,0.0,retail,1995.0,5158.71,17479.0,Japan,0.0,0.0
Versie Hillebrand,Bioholding,Won,2016-11-10,2017-03-12,61.0,medical,2012.0,587.34,1356.0,Philipines,0.04498525073746313,0.10385807198556202
